image_id,label,image_path,parent_id,pixel_bounds
patch-819-2093-910-2184-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-819-2093-910-2184-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(819, 2093, 910, 2184)"
patch-1183-1092-1274-1183-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-1183-1092-1274-1183-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(1183, 1092, 1274, 1183)"
patch-1456-546-1547-637-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-1456-546-1547-637-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(1456, 546, 1547, 637)"
patch-1456-637-1547-728-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-1456-637-1547-728-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(1456, 637, 1547, 728)"
patch-1638-455-1729-546-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-1638-455-1729-546-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(1638, 455, 1729, 546)"
patch-1729-273-1820-364-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-1729-273-1820-364-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(1729, 273, 1820, 364)"
patch-1820-182-1911-273-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-1820-182-1911-273-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(1820, 182, 1911, 273)"
patch-2275-2548-2366-2639-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-2275-2548-2366-2639-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(2275, 2548, 2366, 2639)"
patch-2366-2548-2457-2639-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-2366-2548-2457-2639-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(2366, 2548, 2457, 2639)"
patch-2639-1729-2730-1820-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-2639-1729-2730-1820-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(2639, 1729, 2730, 1820)"
patch-2730-2366-2821-2457-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-2730-2366-2821-2457-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(2730, 2366, 2821, 2457)"
patch-2912-2184-3003-2275-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-2912-2184-3003-2275-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(2912, 2184, 3003, 2275)"
patch-3003-1638-3094-1729-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-3003-1638-3094-1729-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(3003, 1638, 3094, 1729)"
patch-3094-1365-3185-1456-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-3094-1365-3185-1456-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(3094, 1365, 3185, 1456)"
patch-3276-1365-3367-1456-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-3276-1365-3367-1456-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(3276, 1365, 3367, 1456)"
patch-3276-1638-3367-1729-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-3276-1638-3367-1729-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(3276, 1638, 3367, 1729)"
patch-3276-2093-3367-2184-#sheet_0364_HILLEGOM_1878_georef.tif#.png,no,c:\Users\ahhutama\VSCodeProjects\geo2021_dev\mapreader_bonnebladen\classification_bonne_zuidholland\patches\patch-3276-2093-3367-2184-#sheet_0364_HILLEGOM_1878_georef.tif#.png,sheet_0364_HILLEGOM_1878_georef.tif,"(3276, 2093, 3367, 2184)"
